Kategorie,Titel,Problem,Wie,Was,Punkte,CO2 einzeln,Dauer (Wochen),CO2 jährlich,Infos,Quellen
Energie,Es hat Klick gemacht! Ich schalte Elektrogeräte mit Standby-Betrieb über Nacht aus.,"Im Standby-Betrieb verbrauchen viele elektronische Geräte oftmals weiterhin Strom, obwohl sie in dieser Zeit gar nicht genutzt werden. ","Prüfe in Deinem Wohnzimmer die Steckdosen und rüste auf ferngesteuerte Steckdosen oder ausschaltbare Mehrfachsteckerleisten um (diese erhältst Du in Baumärkten oder Elektronikmärkten). Mit den ferngesteuerten Steckdosen kannst Du den Stromverbrauch, z.B. für den Fernseher und Receiver sogar bequem vom Sofa aus per Fernbedienung regeln. Wenn Du nicht dauernd daran denken möchtest, sind auch Steckdosen mit Zeitschaltuhr möglich. Dort kannst Du z.B. beim Fernseher die Stromzufuhr nur für die Abendstunden einschalten und tagsüber wird durch das automatische Abschalten der Standby-Betrieb vermieden. Nach einem einmaligen Aufwand zur Umrüstung lässt sich die Maßnahme leicht umsetzen und zur Gewohnheit machen","So lassen sich in 4 Wochen schon ca. 2,2 kg CO2 einsparen. Die Berechnung erfolgte unter der Annahme, dass Du in deinem Wohnzimmer einen Fernseher und DVD-Player nutzt. Wenn Du diese Maßnahme zur Routine machst und ein ganzes Jahr lang umsetzt, kannst Du sogar 29 kg CO2 einsparen! Auch für Deinen Geldbeutel lohnt sich diese Maßnahme: Ca. 10 bis 15 % der Stromkosten in einem durchschnittlichen 3-Personen-Haushalt werden durch den Standby-Betrieb verursacht. Im Jahr können so ca. 115 Euro eingespart werden. Durch die Umsetzung der Maßnahme sammelst Du 5 Klimapunkte!",5,"2,2",4,29,"Wenn Du noch genauer herausfinden möchtest, welche Geräte wie viel Strom im Standby-Betrieb tatsächlich verbrauchen kannst Du dies mit Hilfe eines Strommessgeräts herausfinden. Strommessgeräte kannst Du Dir bei der Umweltberatung im CityShop (Salzstraße 21) kostenlos ausleihen.",co2online (2018): Stromverbrauch durch Standby: einfach ausschalten! https://www.co2online.de/energie-sparen/strom-sparen/strom-sparen-stromspartipps/stromverbrauch-bei-standby/
Wäsche,Buntwäsche wasche ich generell nur bei 30°C anstatt bei 40°C.,Beim Waschen wird vor allem viel Energie für das Erwärmen des Wassers benötigt. ,"Wähle daher eine möglichst niedrige Waschtemperatur (Quelle: EMF 2019). Leichte und normal verschmutzte Buntwäsche wird bereits bei 20 bis 30 °C sauber (Quelle: UBA 2015). Einmal im Monat sollte jedoch bei 60 °C gewaschen werden (z.B. Handtücher und Bettwäsche), um Keimbildungen in der Waschmaschine zu vermeiden. Wasche außerdem stets mit voller Waschmaschine, um die Anzahl der Waschladungen pro Jahr insgesamt zu reduzieren. Vermeide außerdem das Waschen mit Kurzwaschprogrammen, da diese oftmals mehr Energie verbrauchen.","Auf diese Weise sparst Du in vier Wochen schon 1,2 kg CO2 ein. Auf ein ganzes Jahr hochgerechnet können 15 kg CO2 pro Jahr bei einer Annahme von 150 Waschladungen jährlich eingespart werden. Durch die Umsetzung der Maßnahme sammelst Du 5 Klimapunkte!",5,"1,2",4,15,"Weitere Informationen zu Waschtemperaturen und Hygiene gibt es unter: https://www.umweltbundesamt.de/themen/chemikalien/wasch-reinigungsmittel/umweltbewusst-waschen-reinigen/waschtemperaturen. Wie Du Dein eigenes Waschmittel ganz einfach selbst herstellen kannst, erfährst Du unter: https://www.smarticular.net/oekologisches-waschpulver-aus-eigener-herstellung/","Quellen: 
EMF (2019): Einfach nachhaltig leben. Bucket-List.
UBA (2015): Wäsche waschen, Waschmittel. https://www.umweltbundesamt.de/umwelttipps-fuer-den-alltag/haushalt-wohnen/waesche-waschen-waschmittel#gewusst-wie"
Energie,Zeit für einen besseren Stromtarif. Ich wechsle auf zertifizierten Ökostrom (z.B. Stadtwerke Münster).,Bei der konventionellen Erzeugung von Strom entstehen große Mengen an CO2.,"Ein Wechsel zu einem zertifizierten Ökostromanbieter ist schnell erledigt: Oftmals kann man inzwischen bereits online seinen Stromtarif mit wenigen Klicks wechseln. Trotz Wechsel, wirst Du dabei durchgehend mit Strom versorgt; falls Du auch Deinen Anbieter wechselst, kümmert sich Dein neuer Anbieter auch um die Kündigung Deines vorherigen Vertrags. Die Verbraucherzentrale empfiehlt jedoch, mit der Auswahl eines neuen Anbieters zu warten, falls Deine Mindestvertragslaufzeit noch länger als 3 Monate dauert. In diesem Zeitraum können sich die Angebote und Preise am Markt nämlich noch verändern. Deinen Vertrag kannst Du jedoch auch schon vorher zum nächstmöglichen Zeitpunkt (also zum Ende Deiner Mindestvertragslaufzeit) kündigen. Informiere Dich z. B. bei der Stadtwerke Münster über Ökostromtarife (siehe: www.stadtwerke-muenster.de/oekostrom).","Der Wechsel ist schnell erledigt und die Wirkung groß: Wenn Du das ganze Jahr über bei deinem Ökostromtarif bleibst, sparst Du 430 kg CO2 jährlich ein! Die Kosten für Ökostrom sind dabei oftmals genauso teuer oder sogar günstiger als konventioneller Strom. Durch die Umsetzung der Maßnahme sammelst Du 45 Klimapunkte!",45,,,430, https://www.umweltbundesamt.de/umwelttipps-fuer-den-alltag/elektrogeraete/oekostrom#gewusst-wie.,"EMF (2019): Einfach nachhaltig leben. Bucket-List.
UBA (2020): Ökostrom. https://www.umweltbundesamt.de/umwelttipps-fuer-den-alltag/elektrogeraete/oekostrom#unsere-tipps 
Verbraucherzentrale (2020): So läuft der Anbieterwechsel bei Strom und Gas ab. https://www.verbraucherzentrale.de/wissen/energie/preise-tarife-anbieterwechsel/so-laeuft-der-anbieterwechsel-bei-strom-und-gas-ab-10645 "
Energie,"Läuft bei mir. Netflix, Youtube oder Amazon Prime nutze ich höchstens jeden zweiten Abend. ","Streaming-Dienste wie Youtube, Netflix oder Amazon Prime speichern Videos und Filme auf Servern, die mit dem Internet verbunden sind. Diese Server benötigen viel Strom und müssen, da Sie rund um die Uhr angeschaltet bleiben (ähnlich wie beim Standby-Betrieb von Elektrogeräten), dauerhaft auf eine konstante Temperatur gekühlt werden. Um diese Videos und Filme streamen zu können, benötigst du außerdem Strom für das die Internetnetzung und den Akku deines elektronischen Endgeräts. Das verursacht zusammen hohe CO2-Emissionen.","Überlege Dir daher genau, welchen Film Du wirklich gerne schauen möchtest und vertreibe Dir öfter mal den Abend mit einem spannenden Buch oder leihe Dir eine DVD bei Freunden.","Wenn Du normalerweise jeden Tag 1,5 Stunden Videos online streamst und ab sofort das Angebot nur noch jeden zweiten Tag nutzt, kannst Du in vier Wochen bereits ca. 20 kg CO2 einsparen! Setzt Du diese Maßnahme das ganze Jahr über fort, kannst Du sogar jährlich 238 kg CO2 einsparen. Das entspricht aufgerundet somit 25 Klimapunkten, die Du bei uns sammeln kannst. ",25,20,4,238,,
Ernährung,Ich steige von Butter auf Margarine um.,"Viele Milchprodukte haben oftmals einen hohen CO2-Ausstoß im Vergleich zu pflanzlichen Alternativen, doch sie lassen sich leicht ersetzen.",Gerade beim Backen kannst Du Margarine genauso verarbeiten und verwenden wie Butter. Und vielleicht schmeckt Dir die Margarine ja auch gut auf deinem Brot?,"Während Butter ca. 24 kg CO2 pro kg Butter verursacht, schneidet Margarine mit einem CO2-Wert von ca. 1 kg CO2 pro kg deutlich besser ab. In 4 Wochen lassen sich damit schon 10,8 kg CO2 einsparen. Wenn Du das ganze Jahr über Margarine statt Butter verwendest, sparst Du damit ganz nebenbei 130 kg CO2 pro Jahr ein; aufgerundet entspricht die jährliche CO2 –Einsparung bei Umsetzung dieser Maßnahme 15 Klimapunkten.",15,"10,8",4,130,,WWF (2012): Klimawandel auf dem Teller. https://www.wwf.de/fileadmin/fm-wwf/Publikationen-PDF/Klimawandel_auf_dem_Teller.pdf
Ernährung,Ich trinke Leitungswasser anstelle von Mineralwasser. ,Durch die Herstellung und den Transport von Mineralwasser werden viele Treibhausgasemissionen verursacht.  Dabei ist Leitungswasser das am besten kontrollierte Lebensmittel in Deutschland und unterliegt damit strengen Qualitätskriterien.,"Du kannst dir damit bedenkenlos das Kisten schleppen sparen und frisches, klares Wasser aus der Leitung trinken. Achte beim Wasser in der Leitung lediglich darauf, dass Stagnationswasser, das länger als vier Stunden in der Leitung stand, kurz abläuft.","Wenn Du diese Maßnahme vier Wochen lang umsetzt, sparst Du ganz nebenbei 15 kg CO2 ein. Wenn Du dich noch dafür entscheidest die Maßnahme dauerhaft umzusetzen, sparst Du jährlich 185 kg CO2. Entsprechend der Berechnung der Klimapunkte sind das jährlich aufgerundet ca. 200 kg CO2, und entspricht somit 20 Klimapunkten, die Du Dir bei der Umsetzung der Maßnahme in deinem Alltag verdienen kannst. Trinkwasser ist im Vergleich zu anderen Getränken zudem extrem günstig. Für einen Cent bekommt man in etwa 2 Liter Trinkwasser aus der Leitung (inkl. Abwassergebühr)!",20,15,4,185,,UBA (2018): Trinkwasser. https://www.umweltbundesamt.de/umwelttipps-fuer-den-alltag/essen-trinken/trinkwasser#unsere-tipps
Mobilität,Bei Kurzstrecken (10 x 5 km) trete ich in die Pedale oder gehe auch mal zu Fuß.,Laut Umweltbundesamt sind 40-50 % der Autofahrten in Großstädten Kurzstrecken (weniger als 5 km). Dabei entstehen große Mengen an CO2.  Das Fahrrad gerade in diesem Entfernungsbereich jedoch das schnellste Verkehrsmittel. ,"Überlege Dir, auf welchen Kurzstrecken Du regelmäßig das Auto nutzt und lege fest, an welchen Tagen Du probierst den Weg ohne Auto zurückzulegen.","Wenn Du in den nächsten vier Wochen 10 x auf Kurzstrecken von ca. 5 km das Auto stehen lässt und die Strecke mit dem Fahrrad oder zu Fuß zurücklegst, sparst Du auf diese Weise bereits 9,1 kg CO2 ein und kannst 10 Klimapunkte sammeln. Musst Du auf Deinen Kurzstrecken doch mal größere Lasten transportieren, kannst Du ein Lastenrad dafür nutzen (oder bei Lasse oder traix cycles ausleihen).",10,"9,1",,,Infos zur Lastenradausleihe findest Du unter: https://lastenrad-ms.de/ oder bei traix cycles: https://traix.de/planet-traix/verleih-lastenrad,"UBA (2019): Radverkehr. 
https://www.umweltbundesamt.de/themen/verkehr-laerm/nachhaltige-mobilitaet/radverkehr#vorteile-des-fahrradfahrens"
Netzwerk,Ich mische mich ein und erzähle mindestens drei Bekannten von der Klimamischpoke.  ,,Mach Dich stark für Klimaschutz und Klimaanpassung im Alltag. Tausche Dich mit Freunden und Bekannten über Deine Erfahrungen zur KlimaMischpoke aus und gebe Tipps und Anregungen weiter. Welche Maßnahme waren für Dich besonders einfach umzusetzen? Was ist Dir schwer gefallen? Welche Erfahrungen haben Deine Freunde schon gemacht und welche Tipps haben sie für Dich?,,,,,,,
Netzwerk,Ich mische mich noch mehr ein und poste meine Erfolge auf Instagram unter #klimamischpoke,,Teile Deine Erfolge mit der gesamten Mischpoke. Auf Instagram kannst Du mit Deinen Erfahrungen für einen klimafreundlichen Alltag auch Deine Mitmenschen motivieren. Schritt für Schritt können andere ihren Alltag klimafreundlicher umstellen. Und dabei andere zu einem klimafreundlichen Alltag inspirieren. Nimm Dir einen Tag in der Woche vor (z.B. jeden Freitag) und teile Deinen Klimaschutz-Erfolg der Woche unter dem #klimamischpoke und verlinke auf die KlimaMischpoke. ,,,,,,,
Suffizienz,"EXTRA-Punkte: Ich besuche ein Repair-Café und versuche mehr zu reparieren, anstatt es wegzuwerfen.","Bei der Herstellung und beim Recycling von Produkten werden oftmals große Mengen an CO2-Emissionen ausgestoßen. Allein in Münster sind im Jahr 2019 insgesamt 266 t Wertstoffe (also Elektro- und Kühlgeräte) entsorgt worden (AWM 2019, S. 13). Dabei können viele der defekten Geräte, die vorschnell entsorgt werden, noch repariert und so viele weitere Jahre genutzt werden.","Ob kaputter Toaster, gerissene Pullover Naht oder defekter Staubsauger. Der Defekt ist oftmals leicht durch eine lockere Schraube oder das passende Ersatzteil zu beheben. Tipps und Hilfestellungen bei der Reparatur erhältst Du von erfahrenen Experten in Repair-Cafés vor Ort. Dort sind auch Werkzeug und Material zur Reparatur vorhanden (Quelle: Repair-Café Münster). Überlege Dir, welchen Gegenstand Du schon länger mal reparieren oder aufgrund eines Defekts entsorgen wolltest und trage Dir in Deinem Kalender in den nächsten vier Wochen einen Termin ein, an dem Du das Repair-Café besuchen möchtest.",Mit dem Besuch in einem Repair-Café kannst du bereits 10 Klimapunkte sammeln! ,10,,,,"Wo ein Repair-Café in Deiner Nähe geöffnet hat, erfährst Du unter: https://repaircafe-muenster.de/termin-information/. ","AWM (2019): Abfallbilanz 2019. https://awm.stadt-muens-ter.de/fileadmin//user_upload/awm/pdf/Abfallbilan-zen/Abfallbilanz_2019.pdf (abgerufen am 09.07.2020)
Repair-Café Münster (o.J.): Konzept. https://repaircafe-muenster.de/konzept/ (abgerufen am 09.07.2020)"
